_id,userId,totalPrice,isPaid,payment.totalPaid,payment.totalUnpaid,payment.razorpayOrderId,pickupDate,isPickedUp,isDriverConfirmed,isWorkStarted,isWorkCompleted,isDeliveryPickuped,isDelivered,orders[0].itemId,orders[1].itemId,orders[2].itemId,orders[0].quantity,orders[1].quantity,orders[2].quantity,orders[0].price,orders[1].price,orders[2].price,orders[0]._id,orders[1]._id,orders[2]._id,__v,isPickedUpReached,pickupDriverId,pickupTime
66273202bfa4db8a15aa4cc2,6621fc51acf5044aae3919db,408,false,0,0,order_PWeJlQ0DMSYlMB,2024-04-23T03:55:21.987Z,true,true,false,false,false,false,1,,,12,,,34,,,675c1ec2913f915739ebc782,,,3,true,659ce6092a9d6004d8ed7cea,
663de1a6a62660adca9fe97b,660bfcfe81bbced854f9f3c3,44,false,0,0,order_PWghZt24xSgDy5,2024-05-10T08:58:06.348Z,true,true,false,false,false,false,1,2,3,1,3,5,2,4,6,675c3f8f74ea1c724f4f8e96,675c3f8f74ea1c724f4f8e97,675c3f8f74ea1c724f4f8e98,1,true,659ce6092a9d6004d8ed7cea,
663de1b3a62660adca9fe988,660bfcfe81bbced854f9f3c3,0,false,0,0,,2024-05-10T08:58:06.348Z,false,false,false,false,false,false,,,,,,,,,,,,,0,,,
663de243fca26006c47fef80,660bfcfe81bbced854f9f3c3,0,false,0,0,,2024-05-10T08:58:06.348Z,false,false,false,false,false,false,,,,,,,,,,,,,0,,,
6641f87ad6f1ce43bbe3fda0,660bfcfe81bbced854f9f3c3,0,false,0,0,,2024-05-13T09:36:39.884Z,false,false,false,false,false,false,,,,,,,,,,,,,0,,,
6641f931d052567d43378e24,660bfcfe81bbced854f9f3c3,0,false,0,0,order_O9xfOyAXpb5cLb,2024-05-13T09:36:39.884Z,false,false,false,false,false,false,,,,,,,,,,,,,0,,,
6641fa6ad052567d43378e54,660bfcfe81bbced854f9f3c3,0,false,0,0,order_O9xkv2mP8Ov4Tx,2024-05-13T09:36:39.884Z,false,false,false,false,false,false,,,,,,,,,,,,,0,,,
6641fbb6d052567d43378ea7,660bfcfe81bbced854f9f3c3,0,false,0,0,order_O9xqlevp39YFj8,2024-05-13T11:33:56.024Z,false,false,false,false,false,false,,,,,,,,,,,,,0,,,
6659e0ef7f1d2badac2f3e60,660bfcfe81bbced854f9f3c3,0,false,0,0,order_OH8XE6JTVbWVDz,2024-06-05T14:38:28.419Z,false,false,false,false,false,false,,,,,,,,,,,,,0,,,
666476c03e681c5b48482f7f,660bfcfe81bbced854f9f3c3,0,false,0,0,order_OKJWPQWGnKGFat,2024-06-09T15:20:15.253Z,false,false,false,false,false,false,,,,,,,,,,,,,0,,,
666477993e681c5b48482f95,660bfcfe81bbced854f9f3c3,0,false,0,0,order_OKJaEQLb3uxaMN,2024-06-09T15:24:03.821Z,false,false,false,false,false,false,,,,,,,,,,,,,0,,,12:00
66647c413e681c5b48482fd4,660bfcfe81bbced854f9f3c3,0,false,0,0,order_OKJvDleWVhVhDz,2024-06-09T15:38:26.868Z,false,false,false,false,false,false,,,,,,,,,,,,,0,,,10:00
